Date,Shift,Operator,DownTime,From Time,To Time,Major,Minor,Sub Minor,Sub Sub Minor
23/06/2023,B,50690,71.00,,23/06/2023 07:03:02,TECNICO,paro de linea,Tina Cu,Charola Superior
23/06/2023,B,50690,1.00,23/06/2023 23:57:01,23/06/2023 23:57:03,ORGANIZACIONAL,Hora de Break,NA,NA
23/06/2023,B,50690,3.00,23/06/2023 23:58:01,24/06/2023 00:00:21,no plan,no plan,no plan,no plan
23/06/2023,B,50690,4.00,24/06/2023 00:01:01,24/06/2023 00:01:09,no plan,no plan,no plan,no plan
23/06/2023,B,50690,0,24/06/2023 00:05:01,24/06/2023 00:05:01,ORGANIZACIONAL,Ausentismo,Falta,NA
23/06/2023,B,50690,110.00,24/06/2023 00:02:01,24/06/2023 01:49:47,no plan,no plan,no plan,no plan
23/06/2023,B,50690,0,24/06/2023 01:52:01,24/06/2023 01:52:01,IoT testing1,N/A,N/A,N/A
23/06/2023,B,50690,1.00,24/06/2023 01:50:01,24/06/2023 01:50:20,no plan,no plan,no plan,no plan
23/06/2023,B,50690,2.00,24/06/2023 01:51:01,24/06/2023 01:52:42,ORGANIZACIONAL,Hora de Break,NA,NA
