Date,Shift,Operator,DownTime,From Time,To Time,Major,Minor,Sub Minor,Sub Sub Minor
23/06/2023,B,DIEGO/60398,100.17,23/06/2023 22:30:33,24/06/2023 00:13:12,no plan,no plan,no plan,no plan
23/06/2023,B,DIEGO/60398,0,24/06/2023 00:10:33,24/06/2023 00:10:33,IoT_testing,N/A,N/A,N/A
23/06/2023,B,DIEGO/60398,0.50,24/06/2023 00:13:13,24/06/2023 00:13:44,no plan,no plan,no plan,no plan
23/06/2023,B,DIEGO/60398,0.83,24/06/2023 00:13:44,24/06/2023 00:14:27,IoT_testing,N/A,N/A,N/A
23/06/2023,B,DIEGO/60398,1,24/06/2023 00:14:33,24/06/2023 00:15:33,IoT_testing,N/A,N/A,N/A
23/06/2023,B,HECTOR/60542,108,24/06/2023 00:15:13,24/06/2023 00:16:13,IoT_testing,N/A,N/A,N/A
23/06/2023,B,HECTOR/60542,0,24/06/2023 02:03:43,24/06/2023 02:03:53,IoT_testing,N/A,N/A,N/A
