22/07/2021,A,,718.00,22/07/2021 07:30:01,22/07/2021 19:29:02,no plan,no plan,no plan,no plan
16/09/2021,A,,681.00,16/09/2021 08:09:01,16/09/2021 19:29:02,no plan,no plan,no plan,no plan
13/10/2021,A,,680.00,13/10/2021 07:32:01,13/10/2021 19:29:02,no plan,no plan,no plan,no plan
