"Id";"Name";"Description";"ServerName";"TopicName";"Address";"Coef";"Offset";"LogEnabled";"AlEnabled";"AlBool";"MemTag";"MbsTcpEnabled";"MbsTcpFloat";"SnmpEnabled";"RTLogEnabled";"AlAutoAck";"ForceRO";"SnmpOID";"AutoType";"AlHint";"AlHigh";"AlLow";"AlTimeDB";"AlLevelDB";"IVGroupA";"IVGroupB";"IVGroupC";"IVGroupD";"PageId";"RTLogWindow";"RTLogTimer";"LogDB";"LogTimer";"AlLoLo";"AlHiHi";"MbsTcpRegister";"MbsTcpCoef";"MbsTcpOffset";"EEN";"ETO";"ECC";"ESU";"EAT";"ESH";"SEN";"STO";"SSU";"TEN";"TSU";"FEN";"FFN";"FCO";"KPI";"UseCustomUnit";"Type";"Unit";"AlStat";"ChangeTime";"TagValue";"TagQuality";"AlType"
17;"doee3";"";"MEM";"RET";"doee3";1.000000;0.000000;0;0;0;1;0;0;0;0;0;0;1;0;"";0.000000;0.000000;0;0.000000;0;0;0;0;1;600;10;-1.000000;0;;;1;1.000000;0.000000;;"";"";"";"";;;"";"";;"";;"";"";0;0;1;"";0;"16/04/2023 05:32:18";0;65472;0
18;"oee3";"";"MEM";"RET";"oee3";1.000000;0.000000;0;0;0;1;1;1;0;0;0;0;1;0;"";0.000000;0.000000;0;0.000000;0;0;0;0;1;600;10;-1.000000;0;;;412;1.000000;0.000000;;"";"";"";"";;;"";"";;"";;"";"";0;0;1;"";0;"16/04/2023 05:32:18";0;65472;0
19;"shift1_from";"";"MEM";"RET";"shift1_from";1.000000;0.000000;0;0;0;1;0;0;0;0;0;0;1;0;"";0.000000;0.000000;0;0.000000;0;0;0;0;1;600;10;-1.000000;0;;;1;1.000000;0.000000;;"";"";"";"";;;"";"";;"";;"";"";0;0;2;"";0;"16/04/2023 05:32:18";7;65472;0
20;"shift1_to";"";"MEM";"RET";"shift1_to";1.000000;0.000000;0;0;0;1;0;0;0;0;0;0;1;0;"";0.000000;0.000000;0;0.000000;0;0;0;0;1;600;10;-1.000000;0;;;1;1.000000;0.000000;;"";"";"";"";;;"";"";;"";;"";"";0;0;2;"";0;"16/04/2023 05:32:18";19;65472;0
21;"shift2_from";"";"MEM";"RET";"shift2_from";1.000000;0.000000;0;0;0;1;0;0;0;0;0;0;1;0;"";0.000000;0.000000;0;0.000000;0;0;0;0;1;600;10;-1.000000;0;;;1;1.000000;0.000000;;"";"";"";"";;;"";"";;"";;"";"";0;0;2;"";0;"16/04/2023 05:32:18";19;65472;0
22;"shift3_from";"";"MEM";"RET";"shift3_from";1.000000;0.000000;0;0;0;1;0;0;0;0;0;0;1;0;"";0.000000;0.000000;0;0.000000;0;0;0;0;1;600;10;-1.000000;0;;;1;1.000000;0.000000;;"";"";"";"";;;"";"";;"";;"";"";0;0;2;"";0;"16/04/2023 05:32:18";0;65472;0
23;"shift2_to";"";"MEM";"RET";"shift2_to";1.000000;0.000000;0;0;0;1;0;0;0;0;0;0;1;0;"";0.000000;0.000000;0;0.000000;0;0;0;0;1;600;10;-1.000000;0;;;1;1.000000;0.000000;;"";"";"";"";;;"";"";;"";;"";"";0;0;2;"";0;"16/04/2023 05:32:18";7;65472;0
24;"shift3_to";"";"MEM";"RET";"shift3_to";1.000000;0.000000;0;0;0;1;0;0;0;0;0;0;1;0;"";0.000000;0.000000;0;0.000000;0;0;0;0;1;600;10;-1.000000;0;;;1;1.000000;0.000000;;"";"";"";"";;;"";"";;"";;"";"";0;0;2;"";0;"16/04/2023 05:32:18";0;65472;0
25;"mail_1";"";"MEM";"RET";"mail_1";1.000000;0.000000;0;0;0;1;0;0;0;0;0;0;1;0;"";0.000000;0.000000;0;0.000000;0;0;0;0;1;600;10;-1.000000;0;;;1;1.000000;0.000000;;"";"";"";"";;;"";"";;"";;"";"";0;0;6;"";0;"16/04/2023 05:32:18";"";65472;0
26;"mail_2";"";"MEM";"RET";"mail_2";1.000000;0.000000;0;0;0;1;0;0;0;0;0;0;1;0;"";0.000000;0.000000;0;0.000000;0;0;0;0;1;600;10;-1.000000;0;;;1;1.000000;0.000000;;"";"";"";"";;;"";"";;"";;"";"";0;0;6;"";0;"16/04/2023 05:32:18";"";65472;0
27;"mail_3";"";"MEM";"RET";"mail_3";1.000000;0.000000;0;0;0;1;0;0;0;0;0;0;1;0;"";0.000000;0.000000;0;0.000000;0;0;0;0;1;600;10;-1.000000;0;;;1;1.000000;0.000000;;"";"";"";"";;;"";"";;"";;"";"";0;0;6;"";0;"16/04/2023 05:32:18";"";65472;0
28;"area";"";"MEM";"RET";"area";1.000000;0.000000;0;0;0;1;0;0;0;0;0;0;1;0;"";0.000000;0.000000;0;0.000000;0;0;0;0;1;600;10;-1.000000;0;;;1;1.000000;0.000000;;"";"";"";"";;;"";"";;"";;"";"";0;0;6;"";0;"16/04/2023 05:32:18";"";65472;0
29;"reason";"";"MEM";"RET";"reason";1.000000;0.000000;0;0;0;1;0;0;0;0;0;0;1;0;"";0.000000;0.000000;0;0.000000;0;0;0;0;1;600;10;-1.000000;0;;;1;1.000000;0.000000;;"";"";"";"";;;"";"";;"";;"";"";0;0;6;"";0;"16/04/2023 05:32:18";"";65472;0
30;"maj_id";"";"MEM";"RET";"maj_id";1.000000;0.000000;0;0;0;1;0;0;0;0;0;0;1;0;"";0.000000;0.000000;0;0.000000;0;0;0;0;1;600;10;-1.000000;0;;;1;1.000000;0.000000;;"";"";"";"";;;"";"";;"";;"";"";0;0;6;"";0;"16/04/2023 05:32:18";"";65472;0
31;"maj";"";"MEM";"RET";"maj";1.000000;0.000000;0;0;0;1;0;0;0;0;0;0;1;0;"";0.000000;0.000000;0;0.000000;0;0;0;0;1;600;10;-1.000000;0;;;1;1.000000;0.000000;;"";"";"";"";;;"";"";;"";;"";"";0;0;6;"";0;"16/04/2023 05:32:18";"";65472;0
32;"min_id";"";"MEM";"RET";"min_id";1.000000;0.000000;0;0;0;1;0;0;0;0;0;0;1;0;"";0.000000;0.000000;0;0.000000;0;0;0;0;1;600;10;-1.000000;0;;;1;1.000000;0.000000;;"";"";"";"";;;"";"";;"";;"";"";0;0;6;"";0;"16/04/2023 05:32:18";"";65472;0
33;"min";"";"MEM";"RET";"min";1.000000;0.000000;0;0;0;1;0;0;0;0;0;0;1;0;"";0.000000;0.000000;0;0.000000;0;0;0;0;1;600;10;-1.000000;0;;;1;1.000000;0.000000;;"";"";"";"";;;"";"";;"";;"";"";0;0;6;"";0;"16/04/2023 05:32:18";"";65472;0
34;"sub_min_id";"";"MEM";"RET";"sub_min_id";1.000000;0.000000;0;0;0;1;0;0;0;0;0;0;1;0;"";0.000000;0.000000;0;0.000000;0;0;0;0;1;600;10;-1.000000;0;;;1;1.000000;0.000000;;"";"";"";"";;;"";"";;"";;"";"";0;0;6;"";0;"16/04/2023 05:32:18";"";65472;0
35;"sub_min";"";"MEM";"RET";"sub_min";1.000000;0.000000;0;0;0;1;0;0;0;0;0;0;1;0;"";0.000000;0.000000;0;0.000000;0;0;0;0;1;600;10;-1.000000;0;;;1;1.000000;0.000000;;"";"";"";"";;;"";"";;"";;"";"";0;0;6;"";0;"16/04/2023 05:32:18";"";65472;0
36;"s_sub_min";"";"MEM";"RET";"s_sub_min";1.000000;0.000000;0;0;0;1;0;0;0;0;0;0;1;0;"";0.000000;0.000000;0;0.000000;0;0;0;0;1;600;10;-1.000000;0;;;1;1.000000;0.000000;;"";"";"";"";;;"";"";;"";;"";"";0;0;6;"";0;"16/04/2023 05:32:18";"";65472;0
37;"time1";"";"MEM";"RET";"time1";1.000000;0.000000;0;0;0;1;0;0;0;0;0;0;1;0;"";0.000000;0.000000;0;0.000000;0;0;0;0;1;600;10;-1.000000;0;;;1;1.000000;0.000000;;"";"";"";"";;;"";"";;"";;"";"";0;0;2;"";0;"26/04/2023 06:41:01";6;65472;0
38;"shift";"";"MEM";"RET";"shift";1.000000;0.000000;0;0;0;1;0;0;0;0;0;0;1;0;"";0.000000;0.000000;0;0.000000;0;0;0;0;1;600;10;-1.000000;0;;;1;1.000000;0.000000;;"";"";"";"";;;"";"";;"";;"";"";0;0;6;"";0;"26/04/2023 06:38:01";"A";65472;0
