Date,Shift,Operator,DownTime,From Time,To Time,Major,Minor,Sub Minor,Sub Sub Minor
23/06/2023,B,None,3.00,23/06/2023 22:40:01,23/06/2023 22:42:02,FUNCIONAL,Cambio de Reel,lleno,NA
23/06/2023,B,None,0,23/06/2023 22:45:01,23/06/2023 22:45:01,IoT testing1,N/A,N/A,N/A
23/06/2023,B,None,6,23/06/2023 22:47:01,23/06/2023 22:49:01,ORGANIZACIONAL,Ausentismo,Falta,NA
23/06/2023,B,None,3.00,23/06/2023 22:48:01,23/06/2023 22:50:17,no plan,no plan,no plan,no plan
23/06/2023,B,None,0,23/06/2023 22:50:01,23/06/2023 22:50:01,ORGANIZACIONAL,Ausentismo,Falta,NA
23/06/2023,B,None,1.00,23/06/2023 22:50:01,23/06/2023 22:50:50,no plan,no plan,no plan,no plan
23/06/2023,B,None,0,23/06/2023 22:51:01,23/06/2023 22:51:01,IoT testing1,N/A,N/A,N/A
23/06/2023,B,50566,105.00,23/06/2023 22:51:01,24/06/2023 00:32:39,no plan,no plan,no plan,no plan
23/06/2023,B,50566,0,24/06/2023 00:36:01,24/06/2023 00:36:01,ORGANIZACIONAL,Ausentismo,Falta,NA
23/06/2023,B,50566,1.00,24/06/2023 00:33:01,24/06/2023 00:33:27,no plan,no plan,no plan,no plan
