28/07/2021,B,RAMIRO/60465,719.00,28/07/2021 19:30:01,29/07/2021 07:29:02,no plan,no plan,no plan,no plan
18/08/2021,B,RAMIRO/60465,716.00,18/08/2021 19:30:02,19/08/2021 07:29:02,no plan,no plan,no plan,no plan
