Date,Shift,Operator,DownTime,From Time,To Time,Major,Minor,Sub Minor,Sub Sub Minor
23/06/2023,B,50690,31.83,23/06/2023 22:30:33,23/06/2023 23:03:26,no plan,no plan,no plan,no plan
23/06/2023,B,50690,7,23/06/2023 23:03:26,23/06/2023 23:10:35,IoT_testing,N/A,N/A,N/A
23/06/2023,B,50690,0.50,23/06/2023 23:10:47,23/06/2023 23:11:12,no plan,no plan,no plan,no plan
23/06/2023,B,50690,0.33,23/06/2023 23:11:17,23/06/2023 23:11:34,no plan,no plan,no plan,no plan
23/06/2023,B,50690,0,23/06/2023 23:11:17,23/06/2023 23:11:17,IoT_testing,N/A,N/A,N/A
23/06/2023,B,50690,103.17,23/06/2023 23:11:37,24/06/2023 00:56:32,no plan,no plan,no plan,no plan
23/06/2023,B,50690,0,24/06/2023 00:54:37,24/06/2023 00:54:37,IoT_testing,N/A,N/A,N/A
23/06/2023,B,50690,1.00,24/06/2023 00:56:38,24/06/2023 00:57:29,no plan,no plan,no plan,no plan
23/06/2023,B,50690,0,24/06/2023 00:58:28,24/06/2023 00:58:38,IoT_testing,N/A,N/A,N/A
