Date,Shift,Operator,DownTime,From Time,To Time,Major,Minor,Sub Minor,Sub Sub Minor
23/06/2023,B,DAVID/60552,57.00,23/06/2023 22:20:01,23/06/2023 23:17:58,no plan,no plan,no plan,no plan
23/06/2023,B,DAVID/60552,0,23/06/2023 23:21:01,23/06/2023 23:21:01,IoT testing1,N/A,N/A,N/A
23/06/2023,B,DAVID/60552,3.00,23/06/2023 23:23:02,23/06/2023 23:24:08,no plan,no plan,no plan,no plan
23/06/2023,B,DAVID/60552,0,23/06/2023 23:26:02,23/06/2023 23:26:02,IoT testing1,N/A,N/A,N/A
23/06/2023,B,DAVID/60552,88.00,23/06/2023 23:25:02,24/06/2023 00:48:33,no plan,no plan,no plan,no plan
23/06/2023,B,DAVID/60552,0,24/06/2023 00:53:02,24/06/2023 00:53:02,ORGANIZACIONAL,Ausentismo,Falta,NA
23/06/2023,B,DAVID/60552,1.00,24/06/2023 00:49:01,24/06/2023 00:49:02,no plan,no plan,no plan,no plan
