Date,Shift,Operator,DownTime,From Time,To Time,Major,Minor,Sub Minor,Sub Sub Minor
23/06/2023,B,ARMANDO/60620,1.00,23/06/2023 23:40:02,23/06/2023 23:40:18,ORGANIZACIONAL,Hora de Comida,NA,NA
23/06/2023,B,ARMANDO/60620,3.00,23/06/2023 23:51:02,23/06/2023 23:51:20,no plan,no plan,no plan,no plan
23/06/2023,B,ARMANDO/60620,0,23/06/2023 23:54:02,23/06/2023 23:54:02,ORGANIZACIONAL,Ausentismo,Falta,NA
23/06/2023,B,ARMANDO/60620,68.00,23/06/2023 23:52:02,24/06/2023 00:59:13,no plan,no plan,no plan,no plan
23/06/2023,B,ARMANDO/60620,0,24/06/2023 01:00:02,24/06/2023 01:00:02,ORGANIZACIONAL,Ausentismo,Falta,NA
23/06/2023,B,ARMANDO/60620,2.00,24/06/2023 01:00:01,24/06/2023 01:01:12,no plan,no plan,no plan,no plan
23/06/2023,B,ARMANDO/60620,0,24/06/2023 01:02:01,24/06/2023 01:02:01,ORGANIZACIONAL,Ausentismo,Falta,NA
