area,reason,maj_id,maj,min_id,min,sub_min_id,sub_min,sub_sub_min
,,,Breakdown,,Electrical,,Sensor problem,Others
,,,Breakdown,,Electrical,,Display problem,Not Applicable
,,,Breakdown,,Electrical,,Alarm,Drive alarm
,,,Breakdown,,Electrical,,Alarm,Air pressure
,,,Breakdown,,Electrical,,Alarm,Others
,,,NPD Trial ,,Not Applicable,,Not Applicable,Not Applicable
,,,Others,,Not Applicable,,Not Applicable,Not Applicable
,,,Breakdown,,Electrical,,Display problem,Not Applicable
,,,Breakdown,,Electrical,,Alarm,Drive alarm
,,,Breakdown,,Electrical,,Alarm,Air pressure
,,,Breakdown,,Electrical,,Alarm,Others
