Date,Shift,Operator,DownTime,From Time,To Time,Major,Minor,Sub Minor,Sub Sub Minor
23/06/2023,B,JESUS/60368,71.33,23/06/2023 22:30:33,23/06/2023 23:44:08,no plan,no plan,no plan,no plan
23/06/2023,B,JESUS/60368,0,23/06/2023 23:41:33,23/06/2023 23:41:33,IoT_testing,N/A,N/A,N/A
23/06/2023,B,JESUS/60368,1.50,23/06/2023 23:44:10,23/06/2023 23:45:38,no plan,no plan,no plan,no plan
23/06/2023,B,JESUS/60368,1.67,23/06/2023 23:45:40,23/06/2023 23:47:20,IoT_testing,N/A,N/A,N/A
23/06/2023,B,JESUS/60368,2.50,23/06/2023 23:47:20,23/06/2023 23:49:59,reason not entered,null,null,null
23/06/2023,B,JESUS/60368,119,23/06/2023 23:50:01,24/06/2023 01:49:30,IoT_testing,N/A,N/A,N/A
23/06/2023,B,JESUS/60368,0,24/06/2023 01:50:12,24/06/2023 01:50:12,IoT_testing,N/A,N/A,N/A
23/06/2023,B,JESUS/60368,0,24/06/2023 01:50:22,24/06/2023 01:50:22,IoT_testing,N/A,N/A,N/A
