Date,Shift,Operator,DownTime,From Time,To Time,Major,Minor,Sub Minor,Sub Sub Minor
23/06/2023,B,JESUS/60368,5.00,,24/06/2023 00:22:38,ORGANIZACIONAL,Hora de Comida,NA,NA
23/06/2023,B,JESUS/60368,12.00,24/06/2023 00:24:01,24/06/2023 00:31:16,no plan,no plan,no plan,no plan
23/06/2023,B,JESUS/60368,0,24/06/2023 00:36:01,24/06/2023 00:36:01,ORGANIZACIONAL,Ausentismo,Falta,NA
23/06/2023,B,JESUS/60368,78.00,24/06/2023 00:32:01,24/06/2023 02:07:46,no plan,no plan,no plan,no plan
23/06/2023,B,JESUS/60368,0,24/06/2023 01:50:01,24/06/2023 01:50:01,ORGANIZACIONAL,Ausentismo,Falta,NA
23/06/2023,B,JESUS/60368,1.00,24/06/2023 02:08:01,24/06/2023 02:08:12,no plan,no plan,no plan,no plan
23/06/2023,B,JESUS/60368,12.00,,24/06/2023 02:09:47,TECNICO,Servicios,Falta de Aire,NA
