Date,Shift,Operator,DownTime,From Time,To Time,Major,Minor,Sub Minor,Sub Sub Minor
23/06/2023,B,MIGUEL/60419,59.00,23/06/2023 22:30:33,23/06/2023 23:31:50,no plan,no plan,no plan,no plan
23/06/2023,B,MIGUEL/60419,0,23/06/2023 23:29:33,23/06/2023 23:29:33,IoT_testing,N/A,N/A,N/A
23/06/2023,B,MIGUEL/60419,1.33,23/06/2023 23:31:59,23/06/2023 23:33:17,no plan,no plan,no plan,no plan
23/06/2023,B,MIGUEL/60419,7,23/06/2023 23:33:19,23/06/2023 23:40:38,IoT_testing,N/A,N/A,N/A
23/06/2023,B,MIGUEL/60419,0.33,23/06/2023 23:40:50,23/06/2023 23:41:01,IoT_testing,N/A,N/A,N/A
23/06/2023,B,MIGUEL/60419,1,23/06/2023 23:41:10,23/06/2023 23:42:10,IoT_testing,N/A,N/A,N/A
23/06/2023,B,HECTOR/60542,125,23/06/2023 23:41:40,23/06/2023 23:42:40,IoT_testing,N/A,N/A,N/A
