Date,Shift,Operator,DownTime,From Time,To Time,Major,Minor,Sub Minor,Sub Sub Minor
23/06/2023,B,EMILIO/60598,82.00,23/06/2023 22:30:33,23/06/2023 23:55:08,no plan,no plan,no plan,no plan
23/06/2023,B,EMILIO/60598,0,23/06/2023 23:51:33,23/06/2023 23:51:33,IoT_testing,N/A,N/A,N/A
23/06/2023,B,EMILIO/60598,0.67,23/06/2023 23:55:12,23/06/2023 23:55:48,no plan,no plan,no plan,no plan
23/06/2023,B,EMILIO/60598,1,23/06/2023 23:55:52,23/06/2023 23:56:52,IoT_testing,N/A,N/A,N/A
23/06/2023,B,EMILIO/60598,0.50,23/06/2023 23:56:32,23/06/2023 23:56:55,IoT_testing,N/A,N/A,N/A
23/06/2023,B,EMILIO/60598,0,23/06/2023 23:57:02,23/06/2023 23:57:12,IoT_testing,N/A,N/A,N/A
23/06/2023,B,BRYANT/60578,119,23/06/2023 23:57:22,24/06/2023 01:56:41,IoT_testing,N/A,N/A,N/A
23/06/2023,B,BRYANT/60578,0,24/06/2023 01:57:23,24/06/2023 01:57:33,IoT_testing,N/A,N/A,N/A
23/06/2023,B,BRYANT/60578,0.67,24/06/2023 01:57:43,24/06/2023 01:58:20,IoT_testing,N/A,N/A,N/A
23/06/2023,B,BRYANT/60578,0.17,24/06/2023 01:58:23,24/06/2023 01:58:28,FUNCIONAL,Enhebrado,NA,NA
