Date,Shift,Operator,DownTime,From Time,To Time,Major,Minor,Sub Minor,Sub Sub Minor
23/06/2023,B,BRYANT/60578,44.67,23/06/2023 22:30:33,23/06/2023 23:16:16,no plan,no plan,no plan,no plan
23/06/2023,B,BRYANT/60578,0,23/06/2023 23:14:33,23/06/2023 23:14:33,IoT_testing,N/A,N/A,N/A
23/06/2023,B,BRYANT/60578,1.17,23/06/2023 23:16:18,23/06/2023 23:17:23,no plan,no plan,no plan,no plan
23/06/2023,B,BRYANT/60578,1.00,23/06/2023 23:17:28,23/06/2023 23:18:20,FUNCIONAL,Paro de linea, Fin de turno,NA
23/06/2023,B,BRYANT/60578,15,23/06/2023 23:18:28,23/06/2023 23:19:28,IoT_testing,N/A,N/A,N/A
23/06/2023,B,BRYANT/60578,1.00,24/06/2023 01:00:18,24/06/2023 01:01:10,IoT_testing,N/A,N/A,N/A
23/06/2023,B,BRYANT/60578,2.67,24/06/2023 01:01:18,24/06/2023 01:03:53,no plan,no plan,no plan,no plan
23/06/2023,B,BRYANT/60578,0.17,24/06/2023 01:03:58,24/06/2023 01:04:07,no plan,no plan,no plan,no plan
23/06/2023,B,BRYANT/60578,0,24/06/2023 01:03:58,24/06/2023 01:03:58,IoT_testing,N/A,N/A,N/A
