Date,Shift,Operator,DownTime,From Time,To Time,Major,Minor,Sub Minor,Sub Sub Minor
23/06/2023,B,CLAUDIO/60592,52.83,23/06/2023 22:30:33,23/06/2023 23:24:20,no plan,no plan,no plan,no plan
23/06/2023,B,CLAUDIO/60592,1,23/06/2023 23:24:29,23/06/2023 23:25:29,IoT_testing,N/A,N/A,N/A
23/06/2023,B,CLAUDIO/60592,1.17,23/06/2023 23:25:09,23/06/2023 23:26:12,FUNCIONAL,Paro de linea,Inventario,NA
23/06/2023,B,CLAUDIO/60592,3,23/06/2023 23:26:19,23/06/2023 23:27:19,IoT_testing,N/A,N/A,N/A
23/06/2023,B,CARLOS/60550,7.50,24/06/2023 01:09:59,24/06/2023 01:17:21,IoT_testing,N/A,N/A,N/A
23/06/2023,B,CARLOS/60550,0,24/06/2023 01:17:19,24/06/2023 01:17:19,IoT_testing,N/A,N/A,N/A
