Date,Shift,Operator,DownTime,From Time,To Time,Major,Minor,Sub Minor,Sub Sub Minor
23/06/2023,B,50469/OSWALDO,1.00,23/06/2023 22:30:33,23/06/2023 22:52:17,no plan,no plan,no plan,no plan
23/06/2023,B,50469/OSWALDO,0,23/06/2023 22:52:25,23/06/2023 22:52:25,IoT_testing,N/A,N/A,N/A
23/06/2023,B,50469/OSWALDO,1,23/06/2023 22:55:55,23/06/2023 22:57:05,IoT_testing,N/A,N/A,N/A
23/06/2023,B,50469/OSWALDO,35,23/06/2023 22:56:15,23/06/2023 22:57:15,IoT_testing,N/A,N/A,N/A
23/06/2023,B,50469/OSWALDO,1.33,24/06/2023 00:51:57,24/06/2023 00:53:16,no plan,no plan,no plan,no plan
