Date,Shift,Operator,DownTime,From Time,To Time,Major,Minor,Sub Minor,Sub Sub Minor
23/06/2023,B,50566,9.00,23/06/2023 23:32:02,23/06/2023 23:39:12,no plan,no plan,no plan,no plan
23/06/2023,B,50566,0,23/06/2023 23:41:02,23/06/2023 23:41:02,ORGANIZACIONAL,Ausentismo,Falta,NA
23/06/2023,B,50566,76.00,23/06/2023 23:40:02,24/06/2023 00:53:36,no plan,no plan,no plan,no plan
23/06/2023,B,50566,0,24/06/2023 00:56:02,24/06/2023 00:56:02,ORGANIZACIONAL,Ausentismo,Falta,NA
23/06/2023,B,50566,1.00,24/06/2023 00:54:01,24/06/2023 00:54:25,no plan,no plan,no plan,no plan
23/06/2023,B,50566,0,24/06/2023 00:56:01,24/06/2023 00:56:01,IoT testing1,N/A,N/A,N/A
